date,platform,n
2016-07-13,mailchimp,270
2016-07-14,facebook,430
2016-07-14,mailchimp,270
2016-07-15,facebook,431
2016-07-15,mailchimp,270
2016-07-16,facebook,431
2016-07-16,mailchimp,270
2016-07-17,facebook,434
2016-07-17,mailchimp,270
2016-07-18,facebook,437
2016-07-18,mailchimp,270
2016-07-19,facebook,439
2016-07-19,mailchimp,270
2016-07-20,facebook,439
2016-07-20,mailchimp,270
2016-07-21,facebook,439
2016-07-21,mailchimp,270
2016-07-22,facebook,439
2016-07-22,mailchimp,270
2016-07-23,facebook,440
2016-07-23,mailchimp,270
2016-07-24,facebook,441
2016-07-24,mailchimp,270
2016-07-25,facebook,443
2016-07-25,mailchimp,270
2016-07-26,facebook,442
2016-07-26,mailchimp,270
2016-07-27,facebook,442
2016-07-27,mailchimp,270
2016-07-28,facebook,443
2016-07-28,mailchimp,270
2016-07-29,facebook,443
2016-07-29,mailchimp,270
2016-07-30,facebook,443
2016-07-30,mailchimp,270
2016-07-31,facebook,443
2016-07-31,mailchimp,270
2016-08-01,facebook,444
2016-08-01,mailchimp,270
2016-08-02,facebook,446
2016-08-02,mailchimp,270
2016-08-03,facebook,447
2016-08-03,mailchimp,270
2016-08-04,facebook,447
2016-08-04,mailchimp,270
2016-08-05,facebook,447
2016-08-05,mailchimp,270
2016-08-06,facebook,450
2016-08-06,mailchimp,270
2016-08-07,facebook,450
2016-08-07,mailchimp,270
2016-08-08,facebook,451
2016-08-08,mailchimp,270
2016-08-09,facebook,451
2016-08-09,mailchimp,270
2016-08-10,facebook,451
2016-08-10,mailchimp,272
2016-08-11,facebook,451
2016-08-11,mailchimp,272
2016-08-12,facebook,452
2016-08-12,mailchimp,272
2016-08-13,facebook,452
2016-08-13,mailchimp,272
2016-08-14,facebook,452
2016-08-14,mailchimp,272
2016-08-15,facebook,452
2016-08-15,mailchimp,272
2016-08-16,facebook,452
2016-08-16,mailchimp,272
2016-08-17,facebook,452
2016-08-17,mailchimp,272
2016-08-18,facebook,452
2016-08-18,mailchimp,272
2016-08-19,facebook,452
2016-08-19,mailchimp,272
2016-08-20,facebook,452
2016-08-20,mailchimp,272
2016-08-21,facebook,452
2016-08-21,mailchimp,272
2016-08-22,facebook,455
2016-08-22,mailchimp,273
2016-08-23,facebook,458
2016-08-23,mailchimp,273
2016-08-24,facebook,458
2016-08-24,mailchimp,273
2016-08-25,facebook,459
2016-08-25,mailchimp,273
2016-08-26,facebook,460
2016-08-26,mailchimp,273
2016-08-27,facebook,460
2016-08-27,mailchimp,273
2016-08-28,facebook,460
2016-08-28,mailchimp,273
2016-08-29,facebook,460
2016-08-29,mailchimp,273
2016-08-30,facebook,460
2016-08-30,mailchimp,273
2016-08-31,facebook,462
2016-08-31,mailchimp,273
2016-09-01,facebook,463
2016-09-01,mailchimp,273
2016-09-02,facebook,464
2016-09-02,mailchimp,273
2016-09-03,facebook,465
2016-09-03,mailchimp,273
2016-09-04,facebook,466
2016-09-04,mailchimp,273
2016-09-05,facebook,466
2016-09-05,mailchimp,274
2016-09-06,facebook,470
2016-09-06,mailchimp,288
2016-09-07,facebook,473
2016-09-07,mailchimp,291
2016-09-08,facebook,474
2016-09-08,mailchimp,291
2016-09-09,facebook,474
2016-09-09,mailchimp,291
2016-09-10,facebook,475
2016-09-10,mailchimp,291
2016-09-11,facebook,475
2016-09-11,mailchimp,291
2016-09-12,facebook,475
2016-09-12,mailchimp,292
2016-09-13,facebook,475
2016-09-13,mailchimp,292
2016-09-14,facebook,476
2016-09-14,mailchimp,294
2016-09-15,facebook,476
2016-09-15,mailchimp,295
2016-09-16,facebook,476
2016-09-16,mailchimp,295
2016-09-17,facebook,479
2016-09-17,mailchimp,295
2016-09-18,facebook,479
2016-09-18,mailchimp,295
2016-09-19,facebook,479
2016-09-19,mailchimp,295
2016-09-20,facebook,479
2016-09-20,mailchimp,295
2016-09-21,facebook,479
2016-09-21,mailchimp,295
2016-09-22,facebook,479
2016-09-22,mailchimp,295
2016-09-23,facebook,480
2016-09-23,mailchimp,296
2016-09-24,facebook,480
2016-09-24,mailchimp,296
2016-09-25,facebook,481
2016-09-25,mailchimp,296
2016-09-26,facebook,481
2016-09-26,mailchimp,296
2016-09-27,facebook,481
2016-09-27,mailchimp,296
2016-09-28,facebook,481
2016-09-28,mailchimp,296
2016-09-29,facebook,481
2016-09-29,mailchimp,296
2016-09-30,facebook,481
2016-09-30,mailchimp,296
2016-10-01,facebook,481
2016-10-01,mailchimp,296
2016-10-02,facebook,481
2016-10-02,mailchimp,297
2016-10-03,facebook,482
2016-10-03,mailchimp,297
2016-10-04,facebook,483
2016-10-04,mailchimp,297
2016-10-05,facebook,483
2016-10-05,mailchimp,297
2016-10-06,facebook,484
2016-10-06,mailchimp,297
2016-10-07,facebook,484
2016-10-07,mailchimp,297
2016-10-08,facebook,484
2016-10-08,mailchimp,335
2016-10-09,facebook,484
2016-10-09,mailchimp,335
2016-10-10,facebook,484
2016-10-10,mailchimp,335
2016-10-11,facebook,484
2016-10-11,mailchimp,335
2016-10-12,facebook,486
2016-10-12,mailchimp,335
